JPY,Yen
CNY,Yuan Renminbi
EUR,Euro
UAH,Hryvnia
IDR,Rupiah
RUB,Ruble
VND,Dong
CZK,Koruna
BIF,Franc
BRL,Real
CAD,Dollar
NIO,Cordoba
ARS,Peso
BDT,Taka
PEN,Sol
THB,Baht
USD,Dollar
COP,Peso
ZAR,Rand
BAM,Marka
IRR,Rial
SEK,Krona
KPW,Won
GTQ,Quetzal
MXN,Peso
RSD,Dinar
MAD,Dirham
LTL,Litas
MYR,Ringgit
MMK,Kyat
XCD,Dollar
VEF,Bolivar
PLN,Zloty
PAB,Balboa
ILS,Shekel
GEL,Lari
XAF,Franc
YER,Rial
HUF,Forint
MUR,Rupee
PKR,Rupee
GMD,Dalasi
HRK,Kuna
ISK,Krona
TZS,Shilling
XOF,Franc
BOB,Boliviano
KRW,Won
GBP,Pound sterling
KD,Kuwaiti dinar